id,rules,ms_x1,rows_x1,ms_xk,rows_xk
conj_345,Compute4436322999051580996,0.2,0,0.19,0
conj_346,PrototypeContext.SYM2774696913355351083,0.15,0,0.16,0
conj_347,Compute7781214230736865855,0.4,0,0.31,0
conj_348,PrototypeContext.ActiveRoles,0.18,0,0.14,0
conj_349,Compute5441976810976560335,0.21,0,0.21,0
conj_350,Accountscannothaveanyofthesystemroles,0.21,0,0.24,0
conj_351,ResetaccAutoLoginReqwhenauserhasalreadyloggedin,0.23,0,0.26,0
conj_352,SYM4126518529494829744,0.13,0,0.12,0
conj_353,ResetaccAutoLoginReqwhenaccountisinactive,0.13,0,0.12,0
conj_354,RequesttodeactivatesessionAccount,0.18,0,0.16,0
conj_355,SYM7382357686650527613,0.16,0,0.13,0
conj_356,SYM7947132917451382854,0.91,0,6.6,0
conj_357,Activeuseraccountsareinitialized,0.79,0,6.38,0
conj_358,SYM9172587998251935961,0.94,0,7.55,0
conj_359,ResettingthepasswordforanaccountcanonlybedonebyanAccountManagerortheaccountuser,0.49,0,1.88,0
conj_360,Resetthepasswordofanaccount,0.36,0,0.23,0
conj_361,Requestcreationofautologinaccount,0.31,0,0.17,0
conj_362,Creationofaccountsthatautologincanonlyberequestedwhennobodyisloggedin,0.29,0,0.29,0
conj_363,SYM7072671161078620726,0.11,0,0.14,0
conj_364,CreationofaccountsthatautologincanonlyberequestedwhenAccRegFormisclean,0.11,0,0.12,0
conj_365,SYM3493534666395186405,0.18,0,0.13,0
conj_366,ServiceAccountcreaterequest,0.24,0,0.21,0
conj_367,SYM2843163181122214783,0.13,0,0.18,0
conj_368,Compute8127245194643685895,0.14,0,0.15,0
conj_369,Compute9153463280961023513,0.2,0,0.17,0
conj_370,SYM7352086102017562562,0.18,0,0.13,0
conj_371,Compute8472887602278159781,0.14,0,0.1,0
conj_372,SYM3585598202944245916,0.14,0,0.14,0
conj_373,SYM2804792183815505881,0.12,0,0.27,0
conj_374,SYM4337333777700002187,0.12,0,0.12,0
conj_375,SYM7547663604599314229,0.11,0,0.12,0
conj_376,SYM4774645661269916105,0.21,0,0.12,0
conj_377,DelPairisInvisible,0.15,0,0.16,0
conj_378,SYM6907701090098994598,0.12,0,0.14,0
conj_379,SYM8315285510604390347,0.15,0,0.15,0
conj_380,SYM1095661169782432840,0.12,0,0.11,0
conj_381,SYM5396909113034528125,0.12,0,0.13,0
conj_382,SYM3051461949893720724,0.13,0,0.13,0
conj_383,Successorspredecessorsarepartofthesamesequence;Compute3559985604466033301,0.15,0,0.16,0
conj_384,IRF9143847496524501018,0.11,0,0.1,0
conj_385,SYM5945078787289474809,0.13,0,0.22,0
conj_386,SYM4855687425146793967,0.13,0,0.12,0
conj_387,SYM1456666932048182335,0.14,0,0.12,0
conj_388,SYM9143579472439309443,0.12,0,0.12,0
conj_389,Sessionswithaninactivesessionaccountmaynotexist,0.16,0,0.17,0
conj_390,Compute6116916961459426782,0.23,0,0.17,0
conj_391,ServiceAccRegFormcreaterequest,0.15,0,0.17,0
conj_392,SYM1689917230137489252,0.12,0,0.12,0
conj_393,SYM5556592202416024201,0.14,0,0.12,0
conj_394,ClearpropertysessionIsAgent,0.28,0,0.29,0
conj_395,SYM115909232777511357,0.11,0,0.14,0
conj_396,ClearpropertysessionIsAnon,0.26,0,0.25,0
conj_397,SYM3125398762813715155,0.11,0,0.14,0
